name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude
Residences at Decker,"9000 Decker Ln, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Clubhouse, Balcony, Patio, Business Center",9000 Decker Ln, Austin,TX,78724,1499,0,1,2,APT,2023-10-25 18:16:07,30.3171631,-97.616738
The Markson Austin,"5313 Vega Ave, Austin, TX 78735","Dog & Cat Friendly, Fitness Center, Kitchen, Clubhouse, Carpet, Courtyard, Concierge",5313 Vega Ave, Austin,TX,78735,1279,1877,1,3,APT,2023-10-25 18:16:07,30.2466552,-97.8542435
Limestone Ridge (55+),"7011 McKinney Falls Pky, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Balcony, Maintenance on site, Granite Countertops",7011 McKinney Falls Pky, Austin,TX,78744,1099,0,1,0,APT,2023-10-25 18:16:07,30.1647906,-97.72077379999999
Camber Ranch,"5005 E Parmer Ln, Austin, TX 78754","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse, Maintenance on site, High-Speed Internet",5005 E Parmer Ln, Austin,TX,78754,1475,1520,1,0,APT,2023-10-25 18:16:07,30.3709475,-97.6236759
The James on Grand Avenue,"15701 FM 1325, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Walk-In Closets, Balcony, Patio, Business Center, Controlled Access",15701 FM 1325, Austin,TX,78728,1225,0,1,2,APT,2023-10-25 18:16:07,30.4661125,-97.69359999999999
Crosstown,"6507 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, High-Speed Internet, Package Service",6507 E Riverside Dr, Austin,TX,78741,1450,1570,1,0,APT,2023-10-25 18:16:07,30.223656,-97.701562
Urban East,"6400 E Riverside Dr, Austin, TX 78741","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer",6400 E Riverside Dr, Austin,TX,78741,1525,1705,1,0,APT,2023-10-25 18:16:07,30.2250707,-97.7013514
Veranda,"7205 E Ben White Blvd, Austin, TX 78744","Dog & Cat Friendly, Maintenance on site",7205 E Ben White Blvd, Austin,TX,78744,1479,1834,1,0,APT,2023-10-25 18:16:07,30.2151745,-97.6979817
High Point Preserve,"9301 E Highway 290, Austin, TX 78724","Dog & Cat Friendly, Business Center, Package Service, Controlled Access, Granite Countertops, Gated",9301 E Highway 290, Austin,TX,78724,1295,1835,1,0,APT,2023-10-25 18:16:07,30.3258127,-97.6730744
The Bennett,"7301 S IH-35 SVRD NB, Austin, TX 78744","Dog & Cat Friendly, Stainless Steel Appliances, Yard",7301 S IH-35 SVRD NB, Austin,TX,78744,1372,1617,1,0,APT,2023-10-25 18:16:07,30.1835133,-97.7741648
Delco Flats,"7601 Springdale Rd, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, High-Speed Internet, Elevator, EV Charging",7601 Springdale Rd, Austin,TX,78724,1400,0,1,0,APT,2023-10-25 18:16:07,30.3193613,-97.6603425
Prospect,"122 Sheraton Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center",122 Sheraton Ave, Austin,TX,78745,1314,1650,1,0,APT,2023-10-25 18:16:07,30.2149111,-97.767456
3600 Capitol View,"9002 Capitol View Dr, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Balcony, CableReady, Patio, Stainless Steel Appliances",9002 Capitol View Dr, Austin,TX,78747,1250,0,1,2,APT,2023-10-25 18:16:07,30.1489394,-97.74658509999999
Ariza Easton Park,"8001 E William Cannon Dr, Austin, TX 78744","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",8001 E William Cannon Dr, Austin,TX,78744,1520,0,1,0,APT,2023-10-25 18:16:07,30.1562188,-97.71119279999999
Cascades at Onion Creek,"2213 Cascades Ave, Austin, TX 78747","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, Clubhouse, Heat, Tub / Shower, Stainless Steel Appliances",2213 Cascades Ave, Austin,TX,78747,1345,1648,1,0,APT,2023-10-25 18:16:07,30.1328937,-97.7973284
Alloy,"10400 Research Blvd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service",10400 Research Blvd, Austin,TX,78759,1527,0,1,0,APT,2023-10-25 18:16:07,30.3965944,-97.74747889999999
Wildhorse Flats,"10525 Wildhorse Ranch Trl, Austin, TX 78724","Dog & Cat Friendly, Kitchen, Range, Oven",10525 Wildhorse Ranch Trl, Austin,TX,78724,1250,0,1,2,APT,2023-10-25 18:16:07,30.331183,-97.58346449999999
Citizen House MLK,"6117 FM 969, Austin, TX 78724","Dog & Cat Friendly, Fitness Center, Pool, Ceiling Fans, Elevator, Playground",6117 FM 969, Austin,TX,78724,1524,1549,1,0,APT,2023-10-25 18:16:07,30.283022,-97.66321219999999
Velo Flats,"2606 Wheless Ln, Austin, TX 78723","Dishwasher, Disposal, High-Speed Internet, Stainless Steel Appliances, Business Center, Laundry Facilities",2606 Wheless Ln, Austin,TX,78723,1335,0,1,2,APT,2023-10-25 18:16:07,30.3109427,-97.680095
The Avery,"15222 FM 620 N, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Package Service, Online Services",15222 FM 620 N, Austin,TX,78717,1489,2249,1,0,APT,2023-10-25 18:16:07,30.4835411,-97.74126710000002
Rhythm,"9701 Spectrum Dr, Austin, TX 78717","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Online Services, EV Charging",9701 Spectrum Dr, Austin,TX,78717,1274,5022,1,2,APT,2023-10-25 18:16:07,30.4801919,-97.7701094
Skyloft,"507 W 23rd St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Clubhouse, Package Service, Elevator",507 W 23rd St, Austin,TX,78705,0,0,2,5,APT,2023-10-25 18:16:07,30.2863802,-97.74346659999999
Tides at South Lamar,"3622 Menchaca Rd, Austin, TX 78704","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, High-Speed Internet, Stainless Steel Appliances",3622 Menchaca Rd, Austin,TX,78704,1099,1674,1,2,APT,2023-10-25 18:16:07,30.2382407,-97.78422719999999
Cameron House,"2707 Rio Grande St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Business Center, Package Service, Elevator",2707 Rio Grande St, Austin,TX,78705,840,1695,1,3,APT,2023-10-25 18:16:07,30.29248329999999,-97.7440531
Parkside Crossing,"3400 Shoreline Dr, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3400 Shoreline Dr, Austin,TX,78728,1242,1909,1,2,APT,2023-10-25 18:16:07,30.4560152,-97.684953
Velo Flats,"2606 Wheless Ln, Austin, TX 78723","Dog & Cat Friendly, Maintenance on site, High-Speed Internet, Stainless Steel Appliances, Package Service, Hardwood Floors, Laundry Facilities",2606 Wheless Ln, Austin,TX,78723,1195,1350,1,0,APT,2023-10-25 18:16:07,30.3109427,-97.680095
Establishment,"3501 S 1st St, Austin, TX 78704","Dog & Cat Friendly, Pool, Walk-In Closets, Patio",3501 S 1st St, Austin,TX,78704,1300,1525,1,2,APT,2023-10-25 18:16:07,30.2310596,-97.76522729999999
The Grove,"3707 Menchaca Rd, Austin, TX 78704","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, Hardwood Floors, EV Charging",3707 Menchaca Rd, Austin,TX,78704,1445,1750,1,0,APT,2023-10-25 18:16:07,30.2362031,-97.7841315
Grayson House,"714 W 22nd St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Maintenance on site, Stainless Steel Appliances, Courtyard, Elevator",714 W 22nd St, Austin,TX,78705,817,1730,1,4,APT,2023-10-25 18:16:07,30.2856692,-97.7461934
Villas on Guadalupe,"2810 Hemphill Park, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2810 Hemphill Park, Austin,TX,78705,0,0,2,5,APT,2023-10-25 18:16:07,30.2939258,-97.7413199
Residences at the Domain,"11400 Domain Dr, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Balcony, Maintenance on site, High-Speed Internet",11400 Domain Dr, Austin,TX,78758,1526,1642,1,2,APT,2023-10-25 18:16:07,30.4007449,-97.72512139999999
Marquis at Caprock Canyon,"4411 Spicewood Springs Rd, Austin, TX 78759","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Clubhouse",4411 Spicewood Springs Rd, Austin,TX,78759,1389,2299,1,0,APT,2023-10-25 18:16:07,30.372553,-97.7594804
Canvas,"739 William Cannon Dr W, Austin, TX 78745","Dog & Cat Friendly, Pool, Balcony, Maintenance on site, Grill, Laundry Facilities",739 William Cannon Dr W, Austin,TX,78745,1073,1689,1,2,APT,2023-10-25 18:16:07,30.1973548,-97.79026549999999
The Nine on Shoreline,"3501 Shoreline Dr, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3501 Shoreline Dr, Austin,TX,78728,1142,2438,1,3,APT,2023-10-25 18:16:07,30.4554135,-97.68684359999999
The Amethyst,"13401 Metric Blvd, Austin, TX 78727","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Package Service, Granite Countertops, Gated, Online Services",13401 Metric Blvd, Austin,TX,78727,1255,1599,1,0,APT,2023-10-25 18:16:07,30.4234815,-97.67945739999999
Ridgeview,"8600 Brodie Ln, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, Walk-In Closets, Clubhouse",8600 Brodie Ln, Austin,TX,78745,1425,1970,1,0,APT,2023-10-25 18:16:07,30.1988118,-97.843785
The Park at Walnut Creek,"12113 Metric Blvd, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Online Services, Smoke Free",12113 Metric Blvd, Austin,TX,78758,1086,1281,1,3,APT,2023-10-25 18:16:07,30.4038225,-97.6983741
SoCo Apartments,"6300 S Congress Ave, Austin, TX 78745","Dog & Cat Friendly, Fitness Center, Pool, Clubhouse, Maintenance on site, High-Speed Internet, Business Center",6300 S Congress Ave, Austin,TX,78745,1353,2125,1,3,APT,2023-10-25 18:16:07,30.1975907,-97.77750759999999
Stoney Ridge Apartments,"3200 S 1st St, Austin, TX 78704","Dog & Cat Friendly, Pool, Dishwasher, Refrigerator, In Unit Washer & Dryer, Clubhouse, Balcony, Maintenance on site",3200 S 1st St, Austin,TX,78704,1175,1610,1,2,APT,2023-10-25 18:16:07,30.2335939,-97.7664016
The Sterling House,"709 W 22nd St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Clubhouse, Stainless Steel Appliances, Package Service, Elevator, Individual Locking Bedrooms",709 W 22nd St, Austin,TX,78705,865,1730,1,3,APT,2023-10-25 18:16:07,30.28505,-97.7461579
Mueller Flats Apartments,"1071 Clayton Ln, Austin, TX 78723","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Laundry Facilities, Washer & Dryer Hookups",1071 Clayton Ln, Austin,TX,78723,999,1169,1,2,APT,2023-10-25 18:16:07,30.3187941,-97.7035076
