name,address,amenities,street,city,state,zipcode,minprice,maxprice,minbed,maxbed,building_type,date,Latitude,Longitude,closest_theater_distance_miles,closest_grocery_distance_miles
Skyloft,"507 W 23rd St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Clubhouse, Package Service, Elevator",507 W 23rd St, Austin,TX,78705,0,0,2,5,APT,2023-10-25 18:16:07,30.2863802,-97.7434666,2.4058785811119066,0.8071016358585873
Tides at South Lamar,"3622 Menchaca Rd, Austin, TX 78704","Dog & Cat Friendly, Fitness Center, Pool, In Unit Washer & Dryer, Clubhouse, Maintenance on site, High-Speed Internet, Stainless Steel Appliances",3622 Menchaca Rd, Austin,TX,78704,1099,1674,1,2,APT,2023-10-25 18:16:07,30.2382407,-97.7842272,1.0308250443811824,1.9287121018652384
Cameron House,"2707 Rio Grande St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, Maintenance on site, Business Center, Package Service, Elevator",2707 Rio Grande St, Austin,TX,78705,840,1695,1,3,APT,2023-10-25 18:16:07,30.29248329999999,-97.7440531,2.3920864938946926,1.1825671120522467
Parkside Crossing,"3400 Shoreline Dr, Austin, TX 78728","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",3400 Shoreline Dr, Austin,TX,78728,1242,1909,1,2,APT,2023-10-25 18:16:07,30.4560152,-97.684953,1.4030661226434253,1.5557736700495626
Velo Flats,"2606 Wheless Ln, Austin, TX 78723","Dog & Cat Friendly, Maintenance on site, High-Speed Internet, Stainless Steel Appliances, Package Service, Hardwood Floors, Laundry Facilities",2606 Wheless Ln, Austin,TX,78723,1195,1350,1,0,APT,2023-10-25 18:16:07,30.3109427,-97.680095,1.6929042547899311,0.999891711296901
Establishment,"3501 S 1st St, Austin, TX 78704","Dog & Cat Friendly, Pool, Walk-In Closets, Patio",3501 S 1st St, Austin,TX,78704,1300,1525,1,2,APT,2023-10-25 18:16:07,30.2310596,-97.7652273,1.7396833540040377,0.9846161497901748
The Grove,"3707 Menchaca Rd, Austin, TX 78704","Dog & Cat Friendly, Pool, In Unit Washer & Dryer, Maintenance on site, Hardwood Floors, EV Charging",3707 Menchaca Rd, Austin,TX,78704,1445,1750,1,0,APT,2023-10-25 18:16:07,30.2362031,-97.7841315,0.971724354976677,1.9345878730396986
Grayson House,"714 W 22nd St, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, In Unit Washer & Dryer, Maintenance on site, Stainless Steel Appliances, Courtyard, Elevator",714 W 22nd St, Austin,TX,78705,817,1730,1,4,APT,2023-10-25 18:16:07,30.2856692,-97.7461934,2.2851330792255817,0.8840949569982886
Villas on Guadalupe,"2810 Hemphill Park, Austin, TX 78705","Dog & Cat Friendly, Fitness Center, Pool, Dishwasher, Refrigerator, Kitchen, In Unit Washer & Dryer, Walk-In Closets",2810 Hemphill Park, Austin,TX,78705,0,0,2,5,APT,2023-10-25 18:16:07,30.2939258,-97.7413199,2.21516651895091,1.2123551186935022
Residences at the Domain,"11400 Domain Dr, Austin, TX 78758","Dog & Cat Friendly, Fitness Center, Pool, Kitchen, In Unit Washer & Dryer, Walk-In Closets, Balcony, Maintenance on site, High-Speed Internet",11400 Domain Dr, Austin,TX,78758,1526,1642,1,2,APT,2023-10-25 18:16:07,30.4007449,-97.7251214,1.2597367434377564,0.48726980704741807
